audit_area,source_artifact,check_performed,result,status,finding,corrective_action,owner_or_next_step
chronological_split,docs/chronological_split_policy.md,Confirm development/test split is chronological and final test is reserved for final QA,No final-test use found in AO1 validation workflow,passed,Development/test boundary is documented and validation-only evidence is used,None,Keep final test reserved for W8 final QA
preprocessing_fit_scope,src/modeling/build_ao1_preprocessing_pipeline.py,Confirm learned preprocessing is fit on training/fitting data only,Train-only preprocessing rule documented and implemented,passed,"Imputers, encoders, and scalers are documented as fit on the approved fitting slice only",None,Retain metadata checks in preprocessing validation
logistic_baseline_scope,src/modeling/train_ao1_logistic_regression_baseline.py,Confirm baseline trains on training slice and evaluates validation only,Final test is marked unused in baseline metadata,passed,Baseline evidence is validation-only,None,Use validation metrics only for comparison until final QA
xgboost_scope,src/modeling/train_ao1_xgboost_classifier.py,Confirm XGBoost candidate comparison uses validation only,Final test is marked unused in XGBoost metadata,passed,Selected XGBoost candidate is based on validation evidence,None,Use final test only in final reporting workflow
evaluation_pack_scope,src/modeling/evaluate_ao1_models.py,Confirm model comparison uses validation prediction artifacts only,Evaluation pack validates prediction contract and final-test exclusion,passed,Model comparison metrics are validation-only,None,Refresh audit only if evaluation artifacts change
threshold_policy_scope,src/modeling/select_ao1_decision_threshold.py,Confirm threshold policy uses validation trade-off grid only,Threshold policy is validation-only and reusable for AO3,passed,Threshold governance does not use final test,None,Keep final-test threshold reporting separate
performance_plausibility,report/tables/ao1_model_validation_comparison.csv,Review AO1 validation performance for implausibly high metrics,Metrics are plausible and not near-perfect,passed,AUC and recall are strong but not too-good-to-be-true,None,Reopen if future validation or test metrics become near-perfect
forbidden_predictor_review,src/modeling/build_ao1_preprocessing_pipeline.py,Confirm direct target outcome and post-shipment fields are excluded,Forbidden fields are not approved predictors,passed,No approved predictor is a direct target or delivery-outcome field,None,Keep feature availability controls active
resampling_review,src/modeling/train_ao1_xgboost_classifier.py,Confirm resampling is not fit before split or on validation/test,SMOTE is not used; XGBoost class weighting is training-slice based,passed,No validation/test resampling risk identified,None,If SMOTE is introduced later it must run inside training folds only
historical_aggregate_review,docs/ao1_post_model_leakage_audit.md,Confirm whether AO1 used historical aggregate features,No historical aggregate features are used in current AO1 modeling,passed,No time-aware aggregate leakage risk exists in current feature set,None,Future aggregate features require separate train-only design
shap_plausibility,report/tables/ao1_shap_driver_summary.csv,Review top SHAP drivers for operational plausibility after Issue #30 validation,Top drivers reviewed; no post-outcome leakage proxy found,caution,First Class shipping mode is unusually dominant and geography one-hot drivers may be sparse or high-cardinality,Disclose as reporting caveats and avoid causal claims,Monitor in H1 write-up and final report
final_conclusion,docs/ao1_post_model_leakage_audit.md,Record overall AO1 post-model leakage status,Safe to report with caveats; final test remains untouched,caution,No reviewed artifact shows post-outcome leakage but absence of leakage is not proven,Keep final test metrics out until W8 final QA,Carry caveats into reporting
