"field","value","source_artifact","final_report_note"
"Dataset name","DataCo SMART SUPPLY CHAIN FOR BIG DATA ANALYSIS","docs/data_source_verification.md","Primary structured dataset for the capstone."
"Source","Mendeley Data, Version 5","docs/data_source_verification.md","Official URL recorded as https://data.mendeley.com/datasets/8gx2fvg2k6/5."
"DOI","10.17632/8gx2fvg2k6.5","docs/data_source_verification.md","Use the DOI in final References."
"Published date","2019-03-12","docs/data_source_verification.md","Dataset source date."
"Contributors","Fabian Constante; Fernando Silva; Antonio Pereira","docs/data_source_verification.md","Dataset contributor names from source verification."
"License","CC BY 4.0","docs/data_source_verification.md","Public academic use with attribution."
"Main structured file","DataCoSupplyChainDataset.csv","docs/data_source_verification.md","Structured transactional supply-chain dataset."
"Companion metadata file","DescriptionDataCoSupplyChain.csv","docs/data_source_verification.md","Used for source metadata and data dictionary review."
"Data rows","180519","docs/data_source_verification.md","Verified parsed row count."
"Dataset columns","53","docs/data_source_verification.md","Verified parsed column count."
"Companion metadata rows","52","docs/data_source_verification.md","Metadata row count from companion file."
"Data domain","Order, customer, product, shipping, logistics, geography, and financial fields","report/final_capstone_report_final_markdown.md; docs/data_source_verification.md","Supports AO1, AO2, and AO3."
"Project use","Primary dataset for pre-shipment late-delivery risk prediction, profitability estimation, and AO3 risk-margin prioritization","report/final_capstone_report_final_markdown.md","Structured clickstream file is out of scope unless project scope changes."
"Governance notes","Raw source files are preserved without manual changes; cleaning and modeling controls are handled through Silver, Gold, and documented policies","docs/data_source_verification.md; docs/medallion_structure.md","Supports reproducible Bronze-Silver-Gold workflow."
"Main dataset SHA-256 verification","Passed; official checksum fa6d022ed437155e1a2f0378710602848703c8a7f203f7ff5d77805bf8480aa6","docs/data_source_verification.md","Checksum/source verification evidence."
"Metadata file SHA-256 verification","Passed; official checksum 9828e34669bd6d77e3b4463364cc44a5d52446b5e246fc258758cfe592566c4b","docs/data_source_verification.md","Checksum/source verification evidence."
"Known limitations","Public academic dataset; final report treats the project as an academic decision-support prototype, not a validated production operating system","report/final_capstone_report_final_markdown.md","Limits generalization to live enterprise operations."
