model_name,threshold,row_count,true_negative,false_positive,false_negative,true_positive
ao1_logistic_regression_baseline,0.3,27643,5225,6657,3292,12469
ao1_logistic_regression_baseline,0.35,27643,7615,4267,4880,10881
ao1_logistic_regression_baseline,0.4,27643,8828,3054,5852,9909
ao1_logistic_regression_baseline,0.45,27643,9542,2340,6454,9307
ao1_logistic_regression_baseline,0.5,27643,10054,1828,6864,8897
ao1_logistic_regression_baseline,0.55,27643,10431,1451,7163,8598
ao1_logistic_regression_baseline,0.6,27643,10574,1308,7453,8308
ao1_logistic_regression_baseline,0.65,27643,10744,1138,7863,7898
ao1_logistic_regression_baseline,0.7,27643,10986,896,8623,7138
ao1_xgboost_classifier,0.3,27643,1308,10574,312,15449
ao1_xgboost_classifier,0.35,27643,10124,1758,6035,9726
ao1_xgboost_classifier,0.4,27643,10447,1435,6347,9414
ao1_xgboost_classifier,0.45,27643,10675,1207,6537,9224
ao1_xgboost_classifier,0.5,27643,10733,1149,6557,9204
ao1_xgboost_classifier,0.55,27643,10764,1118,6598,9163
ao1_xgboost_classifier,0.6,27643,10787,1095,6651,9110
ao1_xgboost_classifier,0.65,27643,10791,1091,6733,9028
ao1_xgboost_classifier,0.7,27643,10831,1051,6869,8892
